depto_aplicacion,18-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,>=100,S.I.
Capital,3909,7624,8803,6722,10061,9751,4775,1098,19,7
Las Heras,241,983,1018,782,7901,9752,3244,420,11,6
Maipú,236,645,658,476,6415,8278,2817,310,7,1
San Rafael,908,1921,2090,1554,5290,8926,3444,495,10,10
Luján de Cuyo,96,247,341,240,5277,7546,2660,405,8,4
Guaymallén,857,2027,1721,1179,5058,8773,3088,427,8,4
San Martín,349,769,829,560,3630,4695,1688,188,2,3
Rivadavia,222,524,677,464,2903,3625,1521,198,4,0
Godoy Cruz,627,1847,1773,1139,2166,8009,2994,405,9,0
Tunuyán,266,737,699,500,1943,2413,764,86,2,0
